show_id,title,type,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1814,Show 1814,Movie,Director 1289,"Actor 517, Actor 3823",France,14-Oct-2020,1965,TV-PG,82 min,Documentaries,This is the description for Show 1814.
s1815,Show 1815,TV Show,Director 4471,"Actor 1034, Actor 3073",Brazil,19-Oct-2021,1980,TV-14,62 min,Horror Movies,This is the description for Show 1815.
s1816,Show 1816,Movie,Director 3275,"Actor 365, Actor 2094",South Korea,10-Oct-2020,1998,UR,1 Seasons,Horror Movies,This is the description for Show 1816.
s1817,Show 1817,Movie,Director 4460,"Actor 1027, Actor 3859",Canada,1-Jul-2021,1994,TV-14,168 min,Documentaries,This is the description for Show 1817.
s1818,Show 1818,Movie,Director 4494,"Actor 741, Actor 3706",Brazil,17-May-2021,1991,TV-PG,94 min,Children & Family Movies,This is the description for Show 1818.
s1819,Show 1819,TV Show,Director 2234,"Actor 192, Actor 2636",Japan,13-Apr-2021,1934,UR,9 Seasons,Horror Movies,This is the description for Show 1819.
s1820,Show 1820,TV Show,Director 2716,"Actor 1791, Actor 2569",United Kingdom,21-Jul-2021,2018,TV-MA,3 Seasons,"Comedies, Dramas",This is the description for Show 1820.
s1821,Show 1821,TV Show,Director 2110,"Actor 1976, Actor 3199",Spain,14-Jul-2020,2002,PG-13,8 Seasons,"Dramas, International Movies",This is the description for Show 1821.
s1822,Show 1822,Movie,Director 668,"Actor 440, Actor 2708",Japan,2-Feb-2020,1972,TV-14,65 min,Thrillers,This is the description for Show 1822.
s1823,Show 1823,Movie,Director 1815,"Actor 628, Actor 2899",Japan,13-Mar-2021,1929,G,9 Seasons,Action & Adventure,This is the description for Show 1823.
s1824,Show 1824,Movie,Director 3136,"Actor 415, Actor 2272",United Kingdom,4-Jan-2021,1996,TV-NR,147 min,Action & Adventure,This is the description for Show 1824.
s1825,Show 1825,Movie,Director 2460,"Actor 1180, Actor 2559",United Kingdom,9-Jun-2020,1992,UR,4 Seasons,Horror Movies,This is the description for Show 1825.
s1826,Show 1826,TV Show,Director 3451,"Actor 1624, Actor 3492",Germany,18-Apr-2021,1942,TV-Y7-FV,98 min,"Comedies, Dramas",This is the description for Show 1826.
s1827,Show 1827,TV Show,Director 3732,"Actor 933, Actor 3234",Germany,17-Sep-2021,1944,TV-Y,65 min,Thrillers,This is the description for Show 1827.
s1828,Show 1828,Movie,Director 731,"Actor 1475, Actor 3598",Japan,19-Jun-2021,1991,NC-17,126 min,Documentaries,This is the description for Show 1828.
s1829,Show 1829,Movie,Director 1528,"Actor 875, Actor 2058",Germany,8-Aug-2021,1966,TV-NR,3 Seasons,"Comedies, Dramas",This is the description for Show 1829.
s1830,Show 1830,Movie,Director 4269,"Actor 1094, Actor 3004",Spain,15-Aug-2021,2006,TV-14,103 min,Horror Movies,This is the description for Show 1830.
s1831,Show 1831,Movie,Director 1719,"Actor 446, Actor 2717",Japan,20-May-2021,1976,PG-13,1 Seasons,Documentaries,This is the description for Show 1831.
s1832,Show 1832,Movie,Director 20,"Actor 1237, Actor 3535",Canada,16-Sep-2020,1970,TV-M,8 Seasons,"Comedies, Dramas",This is the description for Show 1832.
s1833,Show 1833,Movie,Director 3668,"Actor 1730, Actor 2064",France,27-Mar-2021,1973,PG,9 Seasons,"Dramas, International Movies",This is the description for Show 1833.
s1834,Show 1834,TV Show,Director 1369,"Actor 107, Actor 3863",United States,2-Apr-2021,1988,PG-13,140 min,"Dramas, Independent Movies",This is the description for Show 1834.
s1835,Show 1835,Movie,Director 908,"Actor 1467, Actor 3498",Canada,9-Sep-2021,1936,TV-Y,1 Seasons,"Dramas, International Movies",This is the description for Show 1835.
s1836,Show 1836,Movie,Director 72,"Actor 583, Actor 3179",India,26-Sep-2021,1972,TV-13,9 Seasons,Documentaries,This is the description for Show 1836.
s1837,Show 1837,TV Show,Director 2923,"Actor 1973, Actor 2224",France,1-Jan-2021,1969,Unrated,66 min,Children & Family Movies,This is the description for Show 1837.
s1838,Show 1838,TV Show,Director 1899,"Actor 1699, Actor 3749",Spain,2-May-2021,1968,TV-PG,121 min,Children & Family Movies,This is the description for Show 1838.
s1839,Show 1839,TV Show,Director 3996,"Actor 307, Actor 2925",Japan,5-May-2020,1973,NC-17,4 Seasons,"Comedies, Dramas",This is the description for Show 1839.
s1840,Show 1840,Movie,Director 3694,"Actor 865, Actor 3618",Brazil,10-Jan-2021,2017,TV-NR,95 min,Action & Adventure,This is the description for Show 1840.
s1841,Show 1841,Movie,Director 2325,"Actor 1580, Actor 2527",India,9-Feb-2021,1969,NR,5 Seasons,"Dramas, Independent Movies",This is the description for Show 1841.
s1842,Show 1842,TV Show,Director 658,"Actor 1633, Actor 2677",United Kingdom,28-Mar-2020,2014,TV-13,133 min,"Dramas, Independent Movies",This is the description for Show 1842.
s1843,Show 1843,TV Show,Director 1406,"Actor 1028, Actor 2242",Spain,19-Sep-2021,1994,NR,134 min,Thrillers,This is the description for Show 1843.
s1844,Show 1844,Movie,Director 2825,"Actor 914, Actor 3320",Spain,14-Oct-2021,1993,R,166 min,Stand-Up Comedy,This is the description for Show 1844.
s1845,Show 1845,Movie,Director 3406,"Actor 951, Actor 3729",Spain,25-Mar-2021,1987,TV-13,1 Seasons,"Comedies, Dramas",This is the description for Show 1845.
s1846,Show 1846,Movie,Director 3791,"Actor 1060, Actor 2465",France,3-Oct-2020,2020,TV-Y7,10 Seasons,Romantic Movies,This is the description for Show 1846.
s1847,Show 1847,TV Show,Director 2485,"Actor 1925, Actor 3338",India,28-Aug-2020,1952,TV-NR,88 min,Action & Adventure,This is the description for Show 1847.
s1848,Show 1848,Movie,Director 4042,"Actor 582, Actor 3807",Japan,6-Oct-2021,1957,TV-13,8 Seasons,Romantic Movies,This is the description for Show 1848.
s1849,Show 1849,Movie,Director 3547,"Actor 1641, Actor 3720",Brazil,22-Jun-2021,1980,TV-Y7-FV,79 min,Documentaries,This is the description for Show 1849.
s1850,Show 1850,TV Show,Director 2701,"Actor 798, Actor 3427",Japan,15-Oct-2021,1958,TV-G,75 min,Stand-Up Comedy,This is the description for Show 1850.
s1851,Show 1851,TV Show,Director 1088,"Actor 1194, Actor 2801",Canada,24-Feb-2021,1995,NC-17,84 min,Horror Movies,This is the description for Show 1851.
s1852,Show 1852,TV Show,Director 2686,"Actor 469, Actor 2260",Canada,14-Jun-2020,2001,NR,126 min,"Dramas, Independent Movies",This is the description for Show 1852.
s1853,Show 1853,TV Show,Director 3542,"Actor 1995, Actor 3774",United Kingdom,17-Aug-2020,1966,PG-13,173 min,Action & Adventure,This is the description for Show 1853.
s1854,Show 1854,TV Show,Director 3544,"Actor 572, Actor 2922",India,26-Jul-2021,1988,TV-Y7,4 Seasons,Children & Family Movies,This is the description for Show 1854.
s1855,Show 1855,Movie,Director 3779,"Actor 979, Actor 2059",United Kingdom,1-May-2021,1990,TV-Y7-FV,4 Seasons,Horror Movies,This is the description for Show 1855.
s1856,Show 1856,TV Show,Director 3095,"Actor 180, Actor 2619",Spain,14-Jul-2020,1941,Unrated,159 min,"Comedies, Dramas",This is the description for Show 1856.
s1857,Show 1857,TV Show,Director 1128,"Actor 1581, Actor 3830",India,4-Mar-2021,1928,UR,167 min,"Dramas, International Movies",This is the description for Show 1857.
s1858,Show 1858,TV Show,Director 462,"Actor 127, Actor 3409",Canada,19-Mar-2021,2001,UR,4 Seasons,Thrillers,This is the description for Show 1858.
s1859,Show 1859,TV Show,Director 1458,"Actor 1212, Actor 3072",United Kingdom,2-May-2020,1993,UR,5 Seasons,"Dramas, International Movies",This is the description for Show 1859.
s1860,Show 1860,Movie,Director 159,"Actor 673, Actor 3142",Brazil,25-Jul-2021,1999,UR,165 min,Horror Movies,This is the description for Show 1860.
s1861,Show 1861,Movie,Director 920,"Actor 1193, Actor 2103",South Korea,9-Jun-2021,1990,TV-Y,80 min,Stand-Up Comedy,This is the description for Show 1861.
s1862,Show 1862,Movie,Director 2294,"Actor 306, Actor 3891",Spain,24-Jan-2021,1997,TV-Y7,9 Seasons,Thrillers,This is the description for Show 1862.
s1863,Show 1863,Movie,Director 2279,"Actor 52, Actor 3964",Spain,8-Sep-2021,1972,TV-Y7,4 Seasons,Action & Adventure,This is the description for Show 1863.
s1864,Show 1864,TV Show,Director 3651,"Actor 603, Actor 2107",Germany,2-Mar-2021,1979,PG-13,4 Seasons,Documentaries,This is the description for Show 1864.
s1865,Show 1865,Movie,Director 4313,"Actor 878, Actor 2566",India,13-Jun-2021,1960,PG,9 Seasons,Romantic Movies,This is the description for Show 1865.
s1866,Show 1866,Movie,Director 3597,"Actor 639, Actor 2692",Japan,19-May-2021,1926,G,135 min,Stand-Up Comedy,This is the description for Show 1866.
s1867,Show 1867,TV Show,Director 398,"Actor 1656, Actor 2966",United Kingdom,8-Jan-2020,1942,NC-17,9 Seasons,Action & Adventure,This is the description for Show 1867.
s1868,Show 1868,Movie,Director 670,"Actor 1650, Actor 3614",United Kingdom,19-Mar-2020,1994,TV-NR,3 Seasons,"Dramas, Independent Movies",This is the description for Show 1868.
s1869,Show 1869,TV Show,Director 3336,"Actor 1809, Actor 3176",United Kingdom,16-Nov-2021,1974,PG,3 Seasons,Stand-Up Comedy,This is the description for Show 1869.
s1870,Show 1870,Movie,Director 4459,"Actor 941, Actor 3171",Germany,14-Jul-2021,1927,TV-Y7,7 Seasons,Stand-Up Comedy,This is the description for Show 1870.
s1871,Show 1871,Movie,Director 2062,"Actor 1640, Actor 2337",United Kingdom,11-Apr-2021,2005,TV-PG,9 Seasons,Stand-Up Comedy,This is the description for Show 1871.
s1872,Show 1872,TV Show,Director 2108,"Actor 453, Actor 2787",India,14-Jun-2021,1999,TV-NR,9 Seasons,Documentaries,This is the description for Show 1872.
s1873,Show 1873,Movie,Director 2218,"Actor 1090, Actor 3508",United States,7-Dec-2020,1948,UR,1 Seasons,Romantic Movies,This is the description for Show 1873.
s1874,Show 1874,Movie,Director 4123,"Actor 1190, Actor 2461",Canada,1-Aug-2020,1947,TV-Y7,8 Seasons,Documentaries,This is the description for Show 1874.
s1875,Show 1875,TV Show,Director 577,"Actor 1014, Actor 3485",France,28-May-2021,1966,NR,6 Seasons,Action & Adventure,This is the description for Show 1875.
s1876,Show 1876,Movie,Director 1529,"Actor 1514, Actor 2271",Brazil,18-May-2021,1961,PG,3 Seasons,Horror Movies,This is the description for Show 1876.
s1877,Show 1877,TV Show,Director 1151,"Actor 1346, Actor 2747",Germany,22-Dec-2021,2011,PG-13,10 Seasons,Children & Family Movies,This is the description for Show 1877.
s1878,Show 1878,Movie,Director 811,"Actor 1524, Actor 2127",India,3-Nov-2020,1952,TV-Y7,93 min,Action & Adventure,This is the description for Show 1878.
s1879,Show 1879,Movie,Director 1294,"Actor 281, Actor 3323",Brazil,13-Aug-2021,1954,TV-MA,60 min,Stand-Up Comedy,This is the description for Show 1879.
s1880,Show 1880,Movie,Director 580,"Actor 125, Actor 3729",Germany,28-Apr-2021,1985,TV-MA,1 Seasons,Horror Movies,This is the description for Show 1880.
s1881,Show 1881,TV Show,Director 2104,"Actor 1343, Actor 4000",South Korea,20-Aug-2021,1996,PG,176 min,Children & Family Movies,This is the description for Show 1881.
s1882,Show 1882,Movie,Director 1996,"Actor 257, Actor 3950",France,9-May-2020,2017,PG,5 Seasons,Stand-Up Comedy,This is the description for Show 1882.
s1883,Show 1883,Movie,Director 1732,"Actor 1904, Actor 2837",Spain,23-Nov-2021,1986,UR,3 Seasons,Horror Movies,This is the description for Show 1883.
s1884,Show 1884,Movie,Director 2407,"Actor 1145, Actor 2012",France,7-Jun-2020,1972,PG,162 min,Romantic Movies,This is the description for Show 1884.
s1885,Show 1885,Movie,Director 1185,"Actor 567, Actor 2501",South Korea,6-Dec-2020,2001,NC-17,1 Seasons,Children & Family Movies,This is the description for Show 1885.
s1886,Show 1886,TV Show,Director 3194,"Actor 1476, Actor 2870",South Korea,15-Nov-2020,1987,TV-NR,107 min,"Comedies, Dramas",This is the description for Show 1886.
s1887,Show 1887,TV Show,Director 3851,"Actor 1078, Actor 3662",United Kingdom,17-May-2021,1973,TV-13,133 min,Children & Family Movies,This is the description for Show 1887.
s1888,Show 1888,TV Show,Director 3304,"Actor 987, Actor 2068",Germany,21-Nov-2021,1997,TV-G,4 Seasons,Children & Family Movies,This is the description for Show 1888.
s1889,Show 1889,TV Show,Director 584,"Actor 232, Actor 3716",Japan,18-Jun-2021,1943,NR,4 Seasons,"Dramas, International Movies",This is the description for Show 1889.
s1890,Show 1890,TV Show,Director 2422,"Actor 1661, Actor 2202",South Korea,11-Apr-2021,2001,TV-13,9 Seasons,"Dramas, International Movies",This is the description for Show 1890.
s1891,Show 1891,Movie,Director 1037,"Actor 1431, Actor 3522",Germany,7-Feb-2020,2004,G,2 Seasons,"Dramas, Independent Movies",This is the description for Show 1891.
s1892,Show 1892,Movie,Director 3198,"Actor 1109, Actor 3411",United Kingdom,22-Mar-2020,1986,TV-Y,6 Seasons,Thrillers,This is the description for Show 1892.
s1893,Show 1893,TV Show,Director 770,"Actor 1614, Actor 3662",Japan,11-Jun-2021,1975,G,135 min,Romantic Movies,This is the description for Show 1893.
s1894,Show 1894,Movie,Director 206,"Actor 1985, Actor 2696",Japan,27-Jan-2021,1997,G,113 min,Thrillers,This is the description for Show 1894.
s1895,Show 1895,Movie,Director 642,"Actor 1273, Actor 2702",United States,13-Mar-2020,1967,TV-PG,153 min,"Dramas, International Movies",This is the description for Show 1895.
s1896,Show 1896,TV Show,Director 2171,"Actor 1126, Actor 3882",United States,25-Mar-2020,1940,NC-17,178 min,"Dramas, International Movies",This is the description for Show 1896.
s1897,Show 1897,TV Show,Director 187,"Actor 1101, Actor 2906",United Kingdom,4-Sep-2021,1991,TV-MA,74 min,Children & Family Movies,This is the description for Show 1897.
s1898,Show 1898,Movie,Director 3621,"Actor 428, Actor 3011",France,21-Dec-2021,2008,TV-NR,104 min,"Comedies, Dramas",This is the description for Show 1898.
s1899,Show 1899,TV Show,Director 2004,"Actor 834, Actor 3963",France,27-Oct-2020,1942,TV-Y7-FV,6 Seasons,"Dramas, Independent Movies",This is the description for Show 1899.
s1900,Show 1900,TV Show,Director 1348,"Actor 1387, Actor 2092",Germany,7-Feb-2020,1968,TV-G,118 min,"Dramas, International Movies",This is the description for Show 1900.
s1901,Show 1901,Movie,Director 1107,"Actor 1549, Actor 2982",India,1-May-2020,1927,TV-MA,163 min,Children & Family Movies,This is the description for Show 1901.
s1902,Show 1902,Movie,Director 2560,"Actor 569, Actor 2527",Spain,27-Oct-2021,1996,TV-G,3 Seasons,Stand-Up Comedy,This is the description for Show 1902.
s1903,Show 1903,Movie,Director 2772,"Actor 951, Actor 2901",United Kingdom,14-Jul-2020,1976,TV-MA,10 Seasons,Documentaries,This is the description for Show 1903.
s1904,Show 1904,Movie,Director 1931,"Actor 1473, Actor 3833",India,2-May-2021,1996,NC-17,138 min,"Dramas, Independent Movies",This is the description for Show 1904.
s1905,Show 1905,TV Show,Director 3457,"Actor 278, Actor 2032",United States,7-Jun-2020,1993,R,6 Seasons,Documentaries,This is the description for Show 1905.
s1906,Show 1906,TV Show,Director 3265,"Actor 298, Actor 2799",South Korea,27-Mar-2021,2003,R,1 Seasons,Action & Adventure,This is the description for Show 1906.
s1907,Show 1907,TV Show,Director 2153,"Actor 1532, Actor 3640",India,27-Apr-2021,1983,TV-18,112 min,Children & Family Movies,This is the description for Show 1907.
s1908,Show 1908,Movie,Director 1671,"Actor 1555, Actor 3371",United States,22-Oct-2020,1940,NC-17,5 Seasons,Children & Family Movies,This is the description for Show 1908.
s1909,Show 1909,TV Show,Director 3800,"Actor 566, Actor 2812",United Kingdom,27-Apr-2020,1928,TV-Y,69 min,Action & Adventure,This is the description for Show 1909.
s1910,Show 1910,TV Show,Director 3967,"Actor 297, Actor 3253",Germany,25-Apr-2020,2018,TV-M,9 Seasons,Romantic Movies,This is the description for Show 1910.
s1911,Show 1911,TV Show,Director 4295,"Actor 417, Actor 2776",France,27-Feb-2021,1961,TV-Y7-FV,1 Seasons,Action & Adventure,This is the description for Show 1911.
s1912,Show 1912,TV Show,Director 3052,"Actor 891, Actor 3190",Canada,2-Sep-2021,1995,TV-MA,165 min,Thrillers,This is the description for Show 1912.
s1913,Show 1913,TV Show,Director 3714,"Actor 900, Actor 2460",Japan,17-Jan-2021,1976,TV-NR,10 Seasons,"Dramas, Independent Movies",This is the description for Show 1913.
s1914,Show 1914,TV Show,Director 1727,"Actor 601, Actor 2552",Canada,18-Oct-2020,1947,Unrated,7 Seasons,Thrillers,This is the description for Show 1914.
s1915,Show 1915,Movie,Director 1091,"Actor 1164, Actor 3733",Japan,2-Jan-2021,2008,TV-NR,69 min,Children & Family Movies,This is the description for Show 1915.
s1916,Show 1916,Movie,Director 1999,"Actor 1010, Actor 3799",Canada,6-Dec-2020,1948,TV-MA,2 Seasons,Action & Adventure,This is the description for Show 1916.
s1917,Show 1917,Movie,Director 3322,"Actor 986, Actor 2510",Canada,23-Feb-2021,1968,TV-G,172 min,"Dramas, Independent Movies",This is the description for Show 1917.
s1918,Show 1918,Movie,Director 751,"Actor 294, Actor 2466",Spain,24-Mar-2021,1974,R,156 min,Children & Family Movies,This is the description for Show 1918.
s1919,Show 1919,Movie,Director 1104,"Actor 1390, Actor 2928",Japan,5-Nov-2020,1947,TV-Y7-FV,7 Seasons,Stand-Up Comedy,This is the description for Show 1919.
s1920,Show 1920,Movie,Director 2985,"Actor 1838, Actor 3870",United Kingdom,10-Jul-2020,2003,TV-Y7-FV,103 min,Documentaries,This is the description for Show 1920.
s1921,Show 1921,Movie,Director 742,"Actor 1187, Actor 3163",United Kingdom,9-Nov-2020,1961,TV-M,4 Seasons,Thrillers,This is the description for Show 1921.
s1922,Show 1922,Movie,Director 1337,"Actor 421, Actor 3960",Japan,2-Apr-2021,1954,TV-NR,112 min,Children & Family Movies,This is the description for Show 1922.
s1923,Show 1923,TV Show,Director 1352,"Actor 80, Actor 2350",South Korea,28-Oct-2021,1998,PG,10 Seasons,"Dramas, Independent Movies",This is the description for Show 1923.
s1924,Show 1924,Movie,Director 3686,"Actor 677, Actor 3981",Spain,5-Jun-2020,1925,TV-NR,76 min,Action & Adventure,This is the description for Show 1924.
s1925,Show 1925,TV Show,Director 276,"Actor 166, Actor 3573",United States,5-Dec-2020,1949,TV-NR,90 min,Horror Movies,This is the description for Show 1925.
s1926,Show 1926,Movie,Director 3421,"Actor 1999, Actor 3003",Germany,26-Dec-2020,1937,TV-14,100 min,Children & Family Movies,This is the description for Show 1926.
s1927,Show 1927,Movie,Director 4139,"Actor 1352, Actor 2570",United Kingdom,8-Jul-2020,1985,PG-13,89 min,"Dramas, Independent Movies",This is the description for Show 1927.
s1928,Show 1928,Movie,Director 2743,"Actor 1811, Actor 3586",South Korea,9-May-2021,2020,TV-G,6 Seasons,"Comedies, Dramas",This is the description for Show 1928.
s1929,Show 1929,TV Show,Director 1409,"Actor 460, Actor 3920",France,13-Mar-2021,1954,Unrated,2 Seasons,Documentaries,This is the description for Show 1929.
s1930,Show 1930,TV Show,Director 993,"Actor 265, Actor 2952",Brazil,4-Nov-2021,1960,R,145 min,Horror Movies,This is the description for Show 1930.
s1931,Show 1931,TV Show,Director 619,"Actor 156, Actor 3870",United States,4-Nov-2020,1996,TV-Y7-FV,142 min,Action & Adventure,This is the description for Show 1931.
s1932,Show 1932,Movie,Director 4285,"Actor 1905, Actor 2527",United Kingdom,12-Oct-2020,1954,NR,8 Seasons,Romantic Movies,This is the description for Show 1932.
s1933,Show 1933,TV Show,Director 2186,"Actor 1684, Actor 3499",France,27-Jun-2021,1959,TV-14,8 Seasons,"Dramas, International Movies",This is the description for Show 1933.
s1934,Show 1934,Movie,Director 314,"Actor 1615, Actor 3146",United States,13-Oct-2020,2013,PG-13,8 Seasons,Stand-Up Comedy,This is the description for Show 1934.
s1935,Show 1935,TV Show,Director 4474,"Actor 583, Actor 2896",United Kingdom,3-Jul-2020,2005,TV-13,132 min,Thrillers,This is the description for Show 1935.
s1936,Show 1936,TV Show,Director 3680,"Actor 165, Actor 3489",United Kingdom,2-Dec-2020,1984,G,165 min,Romantic Movies,This is the description for Show 1936.
s1937,Show 1937,TV Show,Director 3943,"Actor 542, Actor 2030",Canada,23-May-2021,1994,TV-13,150 min,Action & Adventure,This is the description for Show 1937.
s1938,Show 1938,TV Show,Director 2838,"Actor 76, Actor 3152",Spain,20-Apr-2020,1941,TV-G,106 min,Thrillers,This is the description for Show 1938.
s1939,Show 1939,Movie,Director 637,"Actor 1782, Actor 2642",United Kingdom,9-Nov-2021,1942,TV-Y7-FV,79 min,Action & Adventure,This is the description for Show 1939.
s1940,Show 1940,Movie,Director 4288,"Actor 98, Actor 3847",Japan,7-Jul-2021,2001,PG-13,121 min,Stand-Up Comedy,This is the description for Show 1940.
s1941,Show 1941,TV Show,Director 1092,"Actor 1219, Actor 3171",United Kingdom,5-Apr-2021,2000,R,151 min,Thrillers,This is the description for Show 1941.
s1942,Show 1942,TV Show,Director 3408,"Actor 43, Actor 2748",India,23-Apr-2021,1998,TV-NR,4 Seasons,Stand-Up Comedy,This is the description for Show 1942.
s1943,Show 1943,TV Show,Director 3767,"Actor 762, Actor 2570",Japan,11-Feb-2020,1966,R,4 Seasons,Romantic Movies,This is the description for Show 1943.
s1944,Show 1944,TV Show,Director 247,"Actor 872, Actor 2096",Brazil,25-Nov-2020,1995,NR,8 Seasons,Thrillers,This is the description for Show 1944.
s1945,Show 1945,TV Show,Director 3730,"Actor 88, Actor 3538",Brazil,15-Dec-2020,1961,TV-MA,3 Seasons,Romantic Movies,This is the description for Show 1945.
s1946,Show 1946,Movie,Director 1909,"Actor 1050, Actor 2037",Germany,27-Nov-2021,1950,UR,90 min,Children & Family Movies,This is the description for Show 1946.
s1947,Show 1947,Movie,Director 1881,"Actor 891, Actor 3152",Germany,6-May-2020,1953,R,140 min,Children & Family Movies,This is the description for Show 1947.
s1948,Show 1948,Movie,Director 1653,"Actor 1969, Actor 2211",South Korea,28-Sep-2021,2007,TV-Y7-FV,2 Seasons,"Comedies, Dramas",This is the description for Show 1948.
s1949,Show 1949,Movie,Director 1450,"Actor 338, Actor 3113",Germany,1-Nov-2021,1984,TV-MA,1 Seasons,Romantic Movies,This is the description for Show 1949.
s1950,Show 1950,TV Show,Director 468,"Actor 1695, Actor 3311",India,1-Jul-2021,1980,TV-13,180 min,Documentaries,This is the description for Show 1950.
s1951,Show 1951,Movie,Director 418,"Actor 1707, Actor 2413",France,12-Jul-2021,1926,G,143 min,Thrillers,This is the description for Show 1951.
s1952,Show 1952,Movie,Director 3755,"Actor 772, Actor 3145",France,4-Nov-2020,1927,TV-13,7 Seasons,Thrillers,This is the description for Show 1952.
s1953,Show 1953,TV Show,Director 1618,"Actor 1418, Actor 3778",South Korea,16-Apr-2020,1983,TV-NR,8 Seasons,Stand-Up Comedy,This is the description for Show 1953.
s1954,Show 1954,TV Show,Director 4365,"Actor 1820, Actor 3628",France,2-Jan-2021,1935,NC-17,8 Seasons,"Comedies, Dramas",This is the description for Show 1954.
s1955,Show 1955,Movie,Director 541,"Actor 1838, Actor 3975",United Kingdom,28-Feb-2021,1976,G,4 Seasons,Children & Family Movies,This is the description for Show 1955.
s1956,Show 1956,TV Show,Director 3151,"Actor 440, Actor 2344",Germany,22-Jan-2020,1952,NC-17,152 min,"Dramas, International Movies",This is the description for Show 1956.
s1957,Show 1957,TV Show,Director 686,"Actor 1262, Actor 3054",Brazil,20-Dec-2021,1948,TV-18,60 min,Children & Family Movies,This is the description for Show 1957.
s1958,Show 1958,TV Show,Director 3775,"Actor 1982, Actor 2697",Canada,23-Dec-2021,2021,TV-PG,2 Seasons,Children & Family Movies,This is the description for Show 1958.
s1959,Show 1959,Movie,Director 799,"Actor 1295, Actor 3167",United States,26-Apr-2020,1970,TV-Y,179 min,"Dramas, Independent Movies",This is the description for Show 1959.
s1960,Show 1960,TV Show,Director 3613,"Actor 1809, Actor 3228",Brazil,16-May-2021,1976,TV-MA,3 Seasons,Documentaries,This is the description for Show 1960.
s1961,Show 1961,TV Show,Director 3397,"Actor 806, Actor 3129",South Korea,21-Apr-2020,1974,TV-MA,1 Seasons,Thrillers,This is the description for Show 1961.
s1962,Show 1962,TV Show,Director 735,"Actor 1361, Actor 3203",India,7-Jan-2021,1984,NC-17,7 Seasons,Romantic Movies,This is the description for Show 1962.
s1963,Show 1963,TV Show,Director 4184,"Actor 1062, Actor 2260",United Kingdom,7-Aug-2021,1979,R,8 Seasons,"Dramas, International Movies",This is the description for Show 1963.
s1964,Show 1964,TV Show,Director 1017,"Actor 385, Actor 3873",South Korea,14-Oct-2020,2018,TV-G,3 Seasons,"Comedies, Dramas",This is the description for Show 1964.
s1965,Show 1965,TV Show,Director 3609,"Actor 253, Actor 2969",Germany,10-Jun-2020,1982,NC-17,68 min,Action & Adventure,This is the description for Show 1965.
s1966,Show 1966,TV Show,Director 428,"Actor 374, Actor 3169",India,25-Mar-2020,1934,TV-Y,166 min,Romantic Movies,This is the description for Show 1966.
s1967,Show 1967,TV Show,Director 2993,"Actor 214, Actor 2667",France,4-Dec-2021,1936,Unrated,136 min,Documentaries,This is the description for Show 1967.
s1968,Show 1968,TV Show,Director 1372,"Actor 593, Actor 2583",Canada,26-Sep-2021,1974,TV-13,80 min,Horror Movies,This is the description for Show 1968.
s1969,Show 1969,TV Show,Director 1922,"Actor 1103, Actor 3280",Canada,4-Jun-2021,1931,TV-Y7,106 min,Children & Family Movies,This is the description for Show 1969.
s1970,Show 1970,TV Show,Director 2895,"Actor 1241, Actor 2498",Japan,18-May-2020,2006,TV-Y,4 Seasons,Thrillers,This is the description for Show 1970.
s1971,Show 1971,TV Show,Director 898,"Actor 1945, Actor 2850",Spain,3-Oct-2020,1959,UR,82 min,Action & Adventure,This is the description for Show 1971.
s1972,Show 1972,Movie,Director 1514,"Actor 1374, Actor 2756",France,27-Aug-2020,1983,TV-M,117 min,Thrillers,This is the description for Show 1972.
s1973,Show 1973,Movie,Director 224,"Actor 1389, Actor 2494",Brazil,21-Oct-2020,1999,UR,86 min,Horror Movies,This is the description for Show 1973.
s1974,Show 1974,Movie,Director 1441,"Actor 927, Actor 2574",Japan,9-Dec-2020,2019,G,178 min,Stand-Up Comedy,This is the description for Show 1974.
s1975,Show 1975,TV Show,Director 2728,"Actor 357, Actor 3423",United Kingdom,21-Sep-2021,1936,TV-NR,172 min,Romantic Movies,This is the description for Show 1975.
s1976,Show 1976,Movie,Director 4200,"Actor 298, Actor 2934",United Kingdom,26-Jul-2021,2012,TV-PG,175 min,Children & Family Movies,This is the description for Show 1976.
s1977,Show 1977,TV Show,Director 690,"Actor 494, Actor 3039",United Kingdom,24-Dec-2020,1996,TV-M,152 min,"Dramas, Independent Movies",This is the description for Show 1977.
s1978,Show 1978,TV Show,Director 753,"Actor 291, Actor 3668",Japan,20-Sep-2020,1939,NR,145 min,Thrillers,This is the description for Show 1978.
s1979,Show 1979,TV Show,Director 846,"Actor 1000, Actor 2536",Germany,22-Apr-2021,1947,PG,4 Seasons,"Comedies, Dramas",This is the description for Show 1979.
s1980,Show 1980,Movie,Director 4168,"Actor 1986, Actor 3726",South Korea,13-Apr-2021,2017,PG,2 Seasons,"Comedies, Dramas",This is the description for Show 1980.
s1981,Show 1981,TV Show,Director 578,"Actor 579, Actor 2725",Japan,10-Nov-2020,1984,Unrated,7 Seasons,"Dramas, International Movies",This is the description for Show 1981.
s1982,Show 1982,Movie,Director 629,"Actor 1003, Actor 2924",Brazil,21-Apr-2020,1955,TV-14,1 Seasons,Horror Movies,This is the description for Show 1982.
